Ticker,Sector,LatestQuarter,Beta,TrailingPE,ForwardPE,ReturnOnEquityTTM,PriceToBookRatio,PEGRatio,ProfitMargin,EPS,DividendYield,EVToEBITDA
VRTX,LIFE SCIENCES,2023-09-30,0.451,27.69,19.72,0.235,6.15,0.413,0.359,13.31,0.0155,16.84
MMC,FINANCE,2023-09-30,0.958,28.88,23.15,0.328,8.94,3.408,0.156,6.94,0.0142,17.57
MS,FINANCE,2023-09-30,1.377,13.24,11.83,0.0984,1.658,49.29,0.184,5.69,0.0458,-
BLK,FINANCE,2023-09-30,1.294,28.57,20.88,0.14,2.876,13.91,0.307,23.28,0.0301,14.7
SYK,LIFE SCIENCES,2023-09-30,0.944,40.66,25.51,0.15,5.83,2.853,0.13,6.73,0.011,27.89
CVS,TRADE & SERVICES,2023-09-30,0.561,10.36,11.39,0.117,1.872,1.359,0.0244,6.53,0.0358,17.07
PGR,FINANCE,2023-09-30,0.426,34.87,20.04,0.17,5.18,0.915,0.0467,4.6,0.0025,-
AXP,FINANCE,2023-09-30,1.206,14.47,13.85,0.313,4.81,1.15,0.147,10.67,0.0155,-
CI,FINANCE,2023-09-30,0.659,16.53,13.51,0.12,2.272,1.217,0.0279,17.74,0.0168,-
REGN,LIFE SCIENCES,2023-09-30,0.125,22.78,17.79,0.172,3.81,9.01,0.305,35.07,0.0078,12.07
CB,FINANCE,2023-09-30,0.616,13.02,12.25,0.135,1.893,3.952,0.147,17.08,0.0155,-
LRCX,TECHNOLOGY,2023-09-30,1.525,23.26,13.48,0.514,8.61,1.514,0.251,29.47,0.0117,10.71
ADI,MANUFACTURING,2023-07-31,1.166,23.41,17.06,0.103,2.398,1.526,0.292,7.36,0.02,16.54
UBER,TRADE & SERVICES,2023-09-30,1.226,99.19,400,0.118,8.77,None,0.0293,0.52,0,-8.03
SLB,ENERGY & TRANSPORTATION,2023-09-30,1.79,18.51,17.73,0.226,4.158,0.717,0.13,2.88,0.0188,12.86
