,Company,Ticker,GICS Sector,GICS Sub-Industry
243,Core & Main,CNM,Industrials,
244,Corning,GLW,Information Technology,Electronic Components
245,Corteva,CTVA,Materials,Fertilizers & Agricultural Chemicals
246,CoStar Group,CSGP,Industrials,
247,Costco,COST,Consumer Staples,Consumer Staples Merchandise Retail
248,Coterra,CTRA,Energy,Oil & Gas Exploration & Production
249,Coty,COTY,Consumer Staples,Personal Care Products
250,Coupang,CPNG,Consumer Discretionary,
251,Cousins Properties,CUZ,Real Estate,Office REITs
252,Crane,CR,Industrials,Industrial Machinery & Supplies & Components
253,Crane NXT,CXT,Industrials,Industrial Machinery & Supplies & Components
254,Credit Acceptance,CACC,Financials,
255,Crocs,CROX,Consumer Discretionary,Footwear
256,CrowdStrike,CRWD,Information Technology,Application Software
257,Crown Castle,CCI,Real Estate,Telecom Tower REITs
258,Crown Holdings,CCK,Materials,
259,CSX,CSX,Industrials,Rail Transportation
260,CubeSmart,CUBE,Real Estate,
261,Cummins,CMI,Industrials,Industrial Machinery & Supplies & Components
262,Curtiss-Wright,CW,Industrials,Aerospace & Defense
263,CVS Health,CVS,Health Care,Health Care Services
264,D.R. Horton,DHI,Consumer Discretionary,Homebuilding
265,Danaher,DHR,Health Care,Health Care Equipment
266,Darden Restaurants,DRI,Consumer Discretionary,Restaurants
267,Darling Ingredients,DAR,Consumer Staples,
268,Datadog,DDOG,Information Technology,Application Software
269,DaVita,DVA,Health Care,Health Care Facilities
270,Deckers Brands,DECK,Consumer Discretionary,Footwear
271,Deere (John),DE,Industrials,Agricultural & Farm Machinery
272,Delta Air Lines,DAL,Industrials,Passenger Airlines
273,Dentsply Sirona,XRAY,Health Care,Health Care Supplies
274,Devon Energy,DVN,Energy,Oil & Gas Exploration & Production
275,Dexcom,DXCM,Health Care,Health Care Equipment
276,Diamondback Energy,FANG,Energy,Oil & Gas Exploration & Production
277,Dick's Sporting Goods,DKS,Consumer Discretionary,Other Specialty Retail
278,Digital Realty,DLR,Real Estate,Data Center REITs
279,Discover,DFS,Financials,Consumer Finance
280,Dish,DISH,Communication Services,Cable & Satellite
281,Disney,DIS,Communication Services,Movies & Entertainment
282,DocuSign,DOCU,Information Technology,Application Software
283,Dolby Laboratories,DLB,Information Technology,
284,Dollar General,DG,Consumer Staples,Consumer Staples Merchandise Retail
285,Dollar Tree,DLTR,Consumer Staples,Consumer Staples Merchandise Retail
286,Dominion Energy,D,Utilities,Electric Utilities
287,Domino's,DPZ,Consumer Discretionary,Restaurants
288,Donaldson,DCI,Industrials,Industrial Machinery & Supplies & Components
289,DoorDash,DASH,Consumer Discretionary,
290,DoubleVerify,DV,Information Technology,
291,Dover,DOV,Industrials,Industrial Machinery & Supplies & Components
292,Dow,DOW,Materials,Commodity Chemicals
293,Doximity,DOCS,Health Care,
294,DraftKings,DKNG,Consumer Discretionary,
295,Driven Brands,DRVN,Industrials,
296,Dropbox,DBX,Information Technology,
297,DT Midstream,DTM,Energy,
298,DTE,DTE,Utilities,Multi-Utilities
299,Duke Energy,DUK,Utilities,Electric Utilities
300,Dun & Bradstreet,DNB,Industrials,
301,DuPont,DD,Materials,Specialty Chemicals
302,DXC Technology,DXC,Information Technology,IT Consulting & Other Services
303,Dynatrace,DT,Information Technology,
304,Eagle Materials,EXP,Materials,Construction Materials
305,East West Bancorp,EWBC,Financials,Regional Banks
306,EastGroup Properties,EGP,Real Estate,
307,Eastman,EMN,Materials,Diversified Chemicals
308,Eaton,ETN,Industrials,Electrical Components & Equipment
309,eBay,EBAY,Consumer Discretionary,
310,Ecolab,ECL,Materials,Specialty Chemicals
311,Edison International,EIX,Utilities,Electric Utilities
312,Edwards Lifesciences,EW,Health Care,Health Care Equipment
313,Elanco,ELAN,Health Care,
314,Elastic,ESTC,Information Technology,
315,Electronic Arts,EA,Communication Services,Interactive Home Entertainment
316,Element Solutions,ESI,Materials,
317,Elevance Health,ELV,Health Care,Managed Health Care
318,Emcor,EME,Industrials,Construction & Engineering
319,Emerson,EMR,Industrials,Electrical Components & Equipment
320,Encompass Health,EHC,Health Care,Health Care Facilities
321,Enovis,ENOV,Health Care,Health Care Equipment
322,Enphase,ENPH,Information Technology,Electronic Components
323,Entegris,ENTG,Information Technology,
324,Entergy,ETR,Utilities,Electric Utilities
325,Envista,NVST,Health Care,Health Care Supplies
326,EOG Resources,EOG,Energy,Oil & Gas Exploration & Production
327,EPAM,EPAM,Information Technology,IT Consulting & Other Services
328,EPR Properties,EPR,Real Estate,Other Specialized REITs
329,EQT,EQT,Energy,Oil & Gas Exploration & Production
330,Equifax,EFX,Industrials,Research & Consulting Services
331,Equinix,EQIX,Real Estate,Data Center REITs
332,Equitable Holdings,EQH,Financials,
333,Equity Lifestyle Properties,ELS,Real Estate,
334,Equity Residential,EQR,Real Estate,Residential REITs
335,ESAB,ESAB,Industrials,Industrial Machinery & Supplies & Components
336,Essential Utilities,WTRG,Utilities,Water Utilities
337,Essex,ESS,Real Estate,Residential REITs
338,Estée Lauder Companies,EL,Consumer Staples,Personal Care Products
339,Etsy,ETSY,Consumer Discretionary,
340,Euronet Worldwide,EEFT,Financials,Transaction & Payment Processing Services
341,Evercore,EVR,Financials,Investment Banking & Brokerage
342,Everest,EG,Financials,Reinsurance
343,Evergy,EVRG,Utilities,Electric Utilities
344,Eversource,ES,Utilities,Multi-Utilities
345,Exact Sciences,EXAS,Health Care,
346,Exelixis,EXEL,Health Care,Biotechnology
347,Exelon,EXC,Utilities,Multi-Utilities
348,Expedia Group,EXPE,Consumer Discretionary,
349,Expeditors,EXPD,Industrials,Air Freight & Logistics
350,Extra Space Storage,EXR,Real Estate,Self-Storage REITs
351,ExxonMobil,XOM,Energy,Integrated Oil & Gas
352,F5,FFIV,Information Technology,Communications Equipment
353,FactSet,FDS,Financials,Financial Exchanges & Data
354,Fastenal,FAST,Industrials,Building Products
355,Federal Realty Investment Trust,FRT,Real Estate,Retail REITs
356,FedEx,FDX,Industrials,Air Freight & Logistics
357,Ferguson plc,FERG,Industrials,Industrial Machinery & Supplies & Components
358,FICO,FICO,Information Technology,Application Software
359,Fidelity National Financial,FNF,Financials,
360,Fifth Third Bancorp,FITB,Financials,Regional Banks
361,First American,FAF,Financials,Property & Casualty Insurance
362,First Citizens BancShares,FCNCA,Financials,
